
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 02:25:28 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 8269650 rows, 2250 columns and 24810750 nonzeros
Model fingerprint: 0x3daf47ae
Variable types: 0 continuous, 2250 integer (2250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 0 rows and 0 columns (presolve time = 32s) ...
Presolve removed 0 rows and 0 columns (presolve time = 48s) ...
Presolve time: 48.25s
Presolved: 8269650 rows, 2250 columns, 24810750 nonzeros
Variable types: 0 continuous, 2250 integer (2250 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 2012125    8.3303089e+01   0.000000e+00   1.216835e+07   1390s
 2020705    8.3260565e+01   0.000000e+00   5.273196e+06   1395s
 2029285    8.3202273e+01   0.000000e+00   1.218526e+07   1400s
 2037865    8.3115772e+01   0.000000e+00   6.123830e+06   1405s
 2045158    8.3089935e+01   0.000000e+00   1.020734e+07   1410s
 2052880    8.3039748e+01   0.000000e+00   2.350958e+07   1415s
 2060602    8.3018280e+01   0.000000e+00   1.488025e+07   1420s
 2068753    8.2990127e+01   0.000000e+00   6.920003e+06   1425s
 2076904    8.2968179e+01   0.000000e+00   9.534609e+06   1430s
 2084197    8.2913957e+01   0.000000e+00   7.628989e+06   1435s
 2091932    8.2872140e+01   0.000000e+00   5.528304e+06   1440s
 2099654    8.2850959e+01   0.000000e+00   2.011724e+07   1445s
 2107376    8.2830598e+01   0.000000e+00   1.005988e+07   1450s
 2115527    8.2731577e+01   0.000000e+00   4.970141e+06   1455s
 2123249    8.2693573e+01   0.000000e+00   9.884713e+06   1460s
 2130971    8.2659418e+01   0.000000e+00   9.316618e+06   1465s
 2139551    8.2601142e+01   0.000000e+00   7.138961e+06   1470s
 2147702    8.2553802e+01   0.000000e+00   6.828101e+06   1475s
 2155444    8.2490694e+01   0.000000e+00   2.616258e+07   1480s
 2163166    8.2465992e+01   0.000000e+00   3.649988e+06   1485s
 2171746    8.2429820e+01   0.000000e+00   5.858992e+06   1490s
 2179904    8.2327443e+01   0.000000e+00   1.689194e+07   1495s
 2188055    8.2286109e+01   0.000000e+00   8.250895e+07   1500s
 2195777    8.2245678e+01   0.000000e+00   6.562830e+06   1505s
 2203499    8.2203116e+01   0.000000e+00   2.660425e+06   1510s
 2211221    8.2166468e+01   0.000000e+00   3.386276e+06   1515s
 2218943    8.2119575e+01   0.000000e+00   5.105034e+06   1520s
 2226236    8.2070200e+01   0.000000e+00   8.693534e+06   1525s
 2233960    8.2042766e+01   0.000000e+00   1.711166e+07   1530s
 2242111    8.2006747e+01   0.000000e+00   2.077302e+07   1535s
 2249833    8.1948148e+01   0.000000e+00   3.528359e+07   1540s
 2257555    8.1905071e+01   0.000000e+00   2.207630e+07   1545s
 2265706    8.1874640e+01   0.000000e+00   4.329638e+07   1550s
 2270425    8.1860896e+01   0.000000e+00   2.191590e+07   1555s
 2278147    8.1839648e+01   0.000000e+00   9.279392e+06   1560s
 2285869    8.1820881e+01   0.000000e+00   1.841813e+07   1565s
 2293591    8.1784116e+01   0.000000e+00   7.828458e+06   1570s
 2301313    8.1760171e+01   0.000000e+00   1.222138e+07   1575s
 2309464    8.1727479e+01   0.000000e+00   1.362685e+07   1580s
